pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
49.1375,-56.5,180.0,top,C1,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100n,smt
69.1375,-56.5,180.0,top,C2,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100n,smt
89.1375,-56.5,180.0,top,C3,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100n,smt
109.1375,-56.5,180.0,top,C4,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100n,smt
129.1375,-56.5,180.0,top,C5,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100n,smt
149.1375,-56.5,180.0,top,C6,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100n,smt
37.5,-99.5,-90.0,top,Input,,,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,Conn_01x04_Pin,tht
90.5,-113.0,0.0,top,LED1,,,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,Conn_01x04_Pin,tht
105.5,-113.0,0.0,top,LED2,,,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,Conn_01x04_Pin,tht
120.5,-113.0,0.0,top,LED3,,,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,Conn_01x04_Pin,tht
29.5,-105.5875,90.0,top,R1,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,4.7k,smt
29.5,-100.9125,-90.0,top,R2,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,4.7k,smt
90.0,-123.0875,-90.0,top,R3,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,120,smt
95.0,-123.0875,90.0,top,R4,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,120,smt
105.0,-123.0875,-90.0,top,R5,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,120,smt
110.0,-123.0875,90.0,top,R6,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,120,smt
120.0,-123.0875,-90.0,top,R7,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,120,smt
125.0,-123.0875,90.0,top,R8,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,120,smt
48.0,-93.0,0.0,top,Row1,,,JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical,Conn_01x09_Pin,tht
75.5,-93.0,0.0,top,Row2,,,JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical,Conn_01x09_Pin,tht
103.0,-93.0,0.0,top,Row3,,,JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical,Conn_01x09_Pin,tht
130.5,-93.0,0.0,top,Row4,,,JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical,Conn_01x09_Pin,tht
48.0,-103.0,0.0,top,Row5,,,JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical,Conn_01x09_Pin,tht
75.5,-103.0,0.0,top,Row6,,,JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical,Conn_01x09_Pin,tht
103.0,-103.0,0.0,top,Row7,,,JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical,Conn_01x09_Pin,tht
130.5,-103.0,0.0,top,Row8,,,JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical,Conn_01x09_Pin,tht
48.0,-113.0,0.0,top,Row9,,,JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical,Conn_01x09_Pin,tht
49.15,-68.055,0.0,top,U1,,,SOIC-24W_7.5x15.4mm_P1.27mm,PCA9555D,smt
69.15,-67.985,0.0,top,U2,,,SOIC-24W_7.5x15.4mm_P1.27mm,PCA9555D,smt
89.15,-67.985,0.0,top,U3,,,SOIC-24W_7.5x15.4mm_P1.27mm,PCA9555D,smt
109.15,-67.985,0.0,top,U4,,,SOIC-24W_7.5x15.4mm_P1.27mm,PCA9555D,smt
129.15,-67.985,0.0,top,U5,,,SOIC-24W_7.5x15.4mm_P1.27mm,PCA9555D,smt
149.15,-67.985,0.0,top,U6,,,SOIC-24W_7.5x15.4mm_P1.27mm,PCA9555D,smt
75.5,-113.0,0.0,top,WireTriggers,,,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,Conn_01x04_Pin,tht
